STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,FREQ,Fréquence d'observation,METHODOLOGY,Methodology,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,EXPENDITURE,Dépense,ADJUSTMENT,Ajustement,TRANSFORMATION,Transformation,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,BASE_PER,Période de base,DURABILITY,Durability,DECIMALS,Décimales
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,ISL,Islande,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-11,,4.77418,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,COL,Colombie,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-11,,5.197362,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,DNK,Danemark,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-11,,1.619778,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,DEU,Allemagne,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-11,,2.216539,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,GRC,Grèce,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-11,,2.364464,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,HUN,Hongrie,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-11,,3.7,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,AUT,Autriche,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-11,,1.883702,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,DNK,Danemark,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-08,,1.359388,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,DEU,Allemagne,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-08,,1.87234,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,GRC,Grèce,M,Mensuelle,N,National,CPI,Consumer price index,PA,Pourcentage par an,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,GY,"Taux de croissance, sur 1 an",2024-08,,2.987413,,A,Normal value,,,,,,,2,Two
